date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:21	2337/2337	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/signin/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/signin/index.html	(from http://getbootstrap.com/getting-started/)
22:24:25	25002/25002	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/sticky-footer.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/sticky-footer.jpg	(from http://getbootstrap.com/getting-started/)
22:24:26	4299/4299	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/justified-nav/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/justified-nav/index.html	(from http://getbootstrap.com/getting-started/)
22:24:28	79037/79037	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/justified-nav.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/justified-nav.jpg	(from http://getbootstrap.com/getting-started/)
22:24:28	105325/105325	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/dashboard.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/dashboard.jpg	(from http://getbootstrap.com/getting-started/)
22:24:28	122280/122280	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/blog.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/blog.jpg	(from http://getbootstrap.com/getting-started/)
22:24:28	2133/2133	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/sticky-footer/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/sticky-footer/index.html	(from http://getbootstrap.com/getting-started/)
22:24:29	4302/4302	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/sticky-footer-navbar/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/sticky-footer-navbar/index.html	(from http://getbootstrap.com/getting-started/)
22:24:30	5855/5855	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/non-responsive/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/non-responsive/index.html	(from http://getbootstrap.com/getting-started/)
22:24:30	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20May%202016%2016:24:31%20GMT	http://getbootstrap.com/migration	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/migration	(from http://getbootstrap.com/getting-started/)
